country_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
la,la.svg,0.493,SVG,"(512, 512)",1.0,,8,,"#002868,#ce1126,#fff"
lb,lb.svg,2.655,SVG,"(512, 512)",1.0,,10,,"#00a850,#ee161f,#fff"
lc,lc.svg,0.354,SVG,"(512, 512)",1.0,,8,,"#000001,#65cfff,#ffce00,#fff"
li,li.svg,7.168,SVG,"(512, 512)",1.0,,64,,"#000001,#002b7f,#ce1126,#ffd83d"
lk,lk.svg,10.484,SVG,"(512, 512)",1.0,,24,,"#000001,#005641,#8d2029,#ff5b00,#ffb700"
lr,lr.svg,0.67,SVG,"(512, 512)",1.0,,12,,"#006,#c00,#fff"
ls,ls.svg,1.11,SVG,"(512, 512)",1.0,,12,,"#00209f,#009543,#fff"
lt,lt.svg,0.429,SVG,"(512, 512)",1.0,,6,,"#006a44,#c1272d,#fdb913"
lu,lu.svg,0.228,SVG,"(512, 512)",1.0,,6,,"#00a1de,#ed2939,#fff"
lv,lv.svg,0.229,SVG,"(512, 512)",1.0,,4,,"#981e32,#fff"
ly,ly.svg,0.534,SVG,"(512, 512)",1.0,,10,,"#000001,#239e46,#e70013,#fff"
ma,ma.svg,0.24,SVG,"(512, 512)",1.0,,4,,#c1272d
mc,mc.svg,0.229,SVG,"(512, 512)",1.0,,4,,"#f31830,#fff"
md,md.svg,10.976,SVG,"(512, 512)",1.0,,100,,"#00319c,#008500,#008f00,#564dff,#a77b3b,#cac9c7,#da4500,#de2110,#ff0,#ff1900,#ffde00"
me,me.svg,55.615,SVG,"(512, 512)",1.0,,100,,"#1d5e91,#6d8c3e,#b96b29,#c40308,#c52126,#d3ae3b,#d4af3a"
mf,mf.svg,0.226,SVG,"(512, 512)",1.0,,6,,"#000091,#e1000f,#fff"
mg,mg.svg,0.292,SVG,"(512, 512)",1.0,,6,,"#007e3a,#fc3d32,#fff"
mh,mh.svg,0.735,SVG,"(512, 512)",1.0,,8,,"#3b5aa3,#e2ae57,#fff"
mk,mk.svg,0.397,SVG,"(512, 512)",1.0,,6,,"#d20000,#ffe600"
ml,ml.svg,0.27,SVG,"(512, 512)",1.0,,6,,"#009a00,#ff0"
mm,mm.svg,0.69,SVG,"(512, 512)",1.0,,8,,"#34b233,#ea2839,#fecb00,#fff"
mn,mn.svg,1.338,SVG,"(512, 512)",1.0,,20,,"#0066b3,#da2032,#ffd900"
mo,mo.svg,1.353,SVG,"(512, 512)",1.0,,8,,"#00785e,#fbd116,#fff"
mp,mp.svg,22.261,SVG,"(512, 512)",1.0,,100,,"#0071bc,#217900,#6b18b5,#8c1800,#8c8a8c,#de2010,#f7df73,#ffd200,#ffe300,#fff"
mq,mq.svg,0.221,SVG,"(512, 512)",1.0,,6,,"#00a650,#231f1e,#ef1923"
mr,mr.svg,0.42,SVG,"(512, 512)",1.0,,8,,"#006233,#cd2a3e,#ffc400"
ms,ms.svg,5.772,SVG,"(512, 512)",1.0,,46,,"#008021,#00a2bd,#012169,#870f00,#a53d08,#c8102e,#ff9a08,#ffe1cf,#fff"
mt,mt.svg,12.412,SVG,"(512, 512)",1.0,,78,,"#cf142b,#fff"
mu,mu.svg,0.309,SVG,"(512, 512)",1.0,,8,,"#009f4d,#151f6d,#ee2737,#ffcd00"
