subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
BR-MS,BR-MS.svg,0.837,SVG,"(700, 1000)",1.43,,8,,"#00923f,#6699fe,#ffff00,#ffffff"
BR-MT,BR-MT.svg,0.729,SVG,"(1400, 2000)",1.43,,8,,"#00923f,#28166f,#f8c300,#fff"
BR-PA,BR-PA.svg,1.606,SVG,"(600, 900)",1.5,,8,,"#0071ce,#eb2939,#ffffff"
BR-PB,BR-PB.svg,1.196,SVG,"(1400, 2000)",1.43,,6,,"#000,#f00000,#fff"
BR-PE,BR-PE.svg,1.62,SVG,"(360, 540)",1.5,,16,,"#3155a4,#ffb511,#fff"
BR-PI,BR-PI.svg,1.327,SVG,"(1300, 1950)",1.5,,8,,"#0b1097,#56a134,#ffd500,#ffffff"
BR-PR,BR-PR.svg,43.356,SVG,"(463, 662)",1.43,,18,,"#008c43,#2649a5,#29993c,#fff"
BR-RJ,BR-RJ.svg,343.475,SVG,"(700, 1000)",1.43,,100,,
BR-RN,BR-RN.svg,78.884,SVG,"(600, 900)",1.5,,100,,"#009b3a,#00a650,#229845,#231f20,#2498dc,#99d420,#d2cb54,#d3d2d2,#e39125,#fedf00,#fff,#fff200"
BR-RO,BR-RO.svg,0.775,SVG,"(1400, 2000)",1.43,,8,,"#002580,#00994c,#f3e718,#ffffff"
BR-RR,BR-RR.svg,0.755,SVG,"(1400, 2)",0.0,,10,,"#008200,#00a5ff,#dc0000,#f8c300,#ffffff"
BR-RS,BR-RS.svg,202.354,SVG,"(700, 1)",0.0,,100,,"#00923f,#009a50,#1f1a17,#3c746b,#495f5f,#5e7d58,#7c9ccd,#c0a062,#da251d,#de4046,#dededd,#fcdb00,#fddc00,#fff,#fff500"
BR-SC,BR-SC.svg,74.029,SVG,"(608, 836)",1.38,,100,,"#00a650,#231f20,#a6ce39,#b87619,#ed1c24,#f68712,#fff,#fff200"
BR-SE,BR-SE.svg,1.293,SVG,"(700, 1000)",1.43,,8,,"#00923f,#28166f,#f8c300,#fff"
BR-SP,BR-SP.svg,8.632,SVG,"(520, 780)",1.5,,14,,"#294292,#c40008,#ffec00,#fff"
BR-TO,BR-TO.svg,0.493,SVG,"(14, 20)",1.43,,8,,"#1946b4,#ffd700,#fff"
BW-FR,BW-FR.png,61.119,PNG,"(360, 540)",1.5,,42.62,,
BW-GA,BW-GA.svg,47.294,SVG,"(600, 900)",1.5,,100,,"#5d4700,#8f8f8e,#927000,#95c4ea,#babab9,#c79800,#cc112f,#ffffff"
BW-JW,BW-JW.png,78.471,PNG,"(360, 540)",1.5,,75.37,,
BW-LO,BW-LO.png,38.893,PNG,"(360, 540)",1.5,,29.56,,
BW-SP,BW-SP.png,55.815,PNG,"(360, 540)",1.5,,98.21,,
BW-ST,BW-ST.png,57.374,PNG,"(360, 540)",1.5,,43.1,,
BY-BR,BY-BR.svg,30.34,SVG,"(250, 500)",2.0,,80,,"#4980bc,#c00021,#ede13f"
BY-HM,BY-HM.svg,224.914,SVG,"(1200, 1800)",1.5,,100,,"#336fb7,#4f4b6a,#517cbe,#884532,#a7a9ac,#bcbec0,#d1d3d4,#ed1c24,#fdc581,#fff200"
BY-HO,BY-HO.svg,228.592,SVG,"(400, 800)",2.0,,100,,"#2487c2,#408fd4,#4ca669,#8f3d87,#999,#9c5291,#ccc,#d1802b,#d47d1c,#d92136,#db3630,#e60000,#e69424,#edc480,#f5ed21,#fc9,#ffba00,#fff"
BY-HR,BY-HR.svg,31.578,SVG,"(300, 600)",2.0,,92,,"#963,#a90000,#c93,#d40028,#d40029,#e3c24a"
BY-MA,BY-MA.svg,199.633,SVG,"(502, 1004)",2.0,,100,,"#00923f,#1b1918,#50add7,#e89977,#ed7d24,#f00,#ffcb00,#fff"
BY-MI,BY-MI.svg,204.359,SVG,"(300, 600)",2.0,,100,,"#4f4a6b,#874533,#a6a8ab,#a90000,#bdbfbf,#d1d4d4,#e60000,#e81c25,#ed1c24,#fcc482,#fff200"
BY-VI,BY-VI.svg,163.635,SVG,"(400, 800)",2.0,,100,,"#1763ab,#579945,#a90000,#de212b,#e6e6e6,#f5c491,#f7e63d,#fc9"
CA-AB,CA-AB.svg,33.337,SVG,"(500, 1000)",2.0,,100,,"#000,#0b0b0b,#0d3692,#0d6826,#bdbdbd,#fc1921,#feba35,#ffeb43,#fff"
CA-BC,CA-BC.svg,16.55,SVG,"(600, 1000)",1.67,,30,,"#0047bb,#d22630,#ffcd00,#ffd200,#fff"
CA-MB,CA-MB.svg,52.471,SVG,"(500, 1000)",2.0,,100,,"#012169,#165016,#584e19,#614c32,#634324,#6a4222,#6e4523,#704624,#794c27,#7b542f,#7d4e28,#7f512a,#85522b,#866925,#88552c,#8c7033,#937536,#9e7e3a,#a06434,#a5833d,#ab883f,#ac9076,#b48f42,#c8102e,#fff"
CA-NB,CA-NB.svg,64.159,SVG,"(1200, 1920)",1.6,,100,,
CA-NL,CA-NL.svg,0.537,SVG,"(600, 1200)",2.0,,8,,"#003865,#ba0c2f,#ffa400,#fff"
CA-NS,CA-NS.svg,10.042,SVG,"(600, 1200)",2.0,,20,,"#000,#d21034,#fdd44f,#fff"
CA-NT,CA-NT.svg,4.834,SVG,"(600, 1200)",2.0,,30,,"#000,#00754a,#2a317d,#e32726,#ffc828,#fff"
CA-NU,CA-NU.svg,1.022,SVG,"(675, 1200)",1.78,,8,,"#0164bb,#d51516,#fdd500,#fff"
CA-ON,CA-ON.svg,4.141,SVG,"(1200, 2400)",2.0,,40,,"#007934,#012169,#c8102e,#f3cc00,#fff"
